link,title,rating_text,total_review,original_price,discounted_price
https://www.amazon.com/dp/1492051292,"Head First Python: A Learner's Guide to the Fundamentals of Python Programming, A Brain-Friendly Guide",4.1,28,$65.99,$46.99
https://www.amazon.com/dp/0545451922,Alligator vs. Python (Who Would Win?) (12),4.8,496,,$4.99
https://www.amazon.com/dp/B0CZ79LNKT,Python Playground: Coding Games and Projects for Kids and Beginners,5.0,15,,$19.99
https://www.amazon.com/dp/B09QHBPRBX,The Python Book,3.8,6,,$46.00
https://www.amazon.com/dp/B0D223XRR9,"Python Programming for Beginners: The Fast-Track Guide to Master Python in Just 1 Week. Unlock Your Coding Potential to Start Your High-Paying Tech Career Today, No Experience Needed!",4.7,105,,$19.97
https://www.amazon.com/dp/1119787602,"Python All-in-One For Dummies, 2nd Edition (For Dummies (Computer/Tech))",4.6,404,,
https://www.amazon.com/dp/1840788127,Python in easy steps,4.6,492,$15.99,$10.69
https://www.amazon.com/dp/1617296864,"Deep Learning with Python, Second Edition",4.7,376,$59.99,$40.40
https://www.amazon.com/dp/1837636753,"Dancing with Qubits - Second Edition: From qubits to algorithms, embark on the quantum computing journey shaping our future",5.0,19,$57.99,$46.39
https://www.amazon.com/dp/1617296864,"Deep Learning with Python, Second Edition",4.7,376,$59.99,$40.40
https://www.amazon.com/dp/B0CSKLFBVK,PYTHON PROGRAMMING FOR BEGINNERS: Zero to Hero: Mastering Python Step-by-Step,4.6,54,$20.99,$20.04
https://www.amazon.com/dp/B0CSJHLV4K,Python Essentials 1: The Official OpenEDG Python Institute Course Book – Aligned with PCEP-30-0x Certification Exam,4.8,14,,$38.99
https://www.amazon.com/dp/1922462128,Python Programming Projects Workbook for Kids: Master Python in 1 month with 150 Outrageously Fun Small Python Programs for Kids (Coding for Absolute Beginners),4.4,34,,$22.65
https://www.amazon.com/dp/1633437787,Learn AI-assisted Python Programming: With GitHub Copilot and ChatGPT,4.2,22,$49.99,$41.91
https://www.amazon.com/dp/1801815097,Learn Python Programming: An in-depth introduction to the fundamentals of Python,4.3,86,$46.99,$44.85
https://www.amazon.com/dp/1449340377,Python Cookbook: Recipes for Mastering Python 3,4.6,643,$64.99,$37.70
https://www.amazon.com/dp/1801077266,Python Object-Oriented Programming - Fourth Edition: Build robust and maintainable object-oriented Python applications and libraries,4.3,104,,$49.99
https://www.amazon.com/dp/B09BNYDH5F,Machine Learning With Python For Beginners: A Step-By-Step Guide with Hands-On Projects (Learn Coding Fast with Hands-On Project Book 7),4.5,131,,$0.00
https://www.amazon.com/dp/B0DCGCR44B,Python & SQL:: The Essential Guide for Programmers & Analysts,,,,$0.00
https://www.amazon.com/dp/1835466389,Modern Python Cookbook: 130+ updated recipes for modern Python 3.12 with new techniques and tools,5.0,8,$54.99,$41.80
https://www.amazon.com/dp/1805125451,Django 5 By Example - Fifth Edition: Build powerful and reliable Python web applications from scratch,4.5,34,$49.99,$30.34
https://www.amazon.com/dp/1493225596,Python for Engineering and Scientific Computing,4.5,5,$59.95,$37.70
https://www.amazon.com/dp/0134692888,Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),4.4,"1,022",$39.99,$23.07
https://www.amazon.com/dp/1801819319,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,4.6,340,$54.99,$34.54
https://www.amazon.com/dp/1621362205,The Spirit of Python: Exposing Satan’s Plan to Squeeze the Life Out of You,4.8,"1,131",$16.99,$11.82
https://www.amazon.com/dp/B07WN1TV57,Machine Learning with Python: A Practical Beginners’ Guide (Machine Learning with Python for Beginners Book Series 2),4.5,206,$15.79,$3.99
https://www.amazon.com/dp/B0CSP19YF2,"Python Programming and SQL: 5 books in 1 - from Starter to Smarter. Master Hands-On Coding, Break Career Barriers, and Unlock Expert Techniques with a Step-by-Step Method",4.4,20,,$26.97
https://www.amazon.com/dp/1465461884,Coding Projects in Python (DK Help Your Kids),4.6,416,$19.99,$11.99
https://www.amazon.com/dp/159327890X,Impractical Python Projects: Playful Programming Activities to Make You Smarter,4.7,350,$39.99,$25.02
https://www.amazon.com/dp/B0DDCMCVQY,Python For Data Science Programming : Essential Tools And Techniques For Data Analysis In Python (python programming Book 2),,,,$0.00
https://www.amazon.com/dp/1718500629,Real-World Python: A Hacker's Guide to Solving Problems with Code,4.7,115,$39.99,$29.45
https://www.amazon.com/dp/B0CZKHKJ38,"Python Programming for Beginners: The New Complete Prompt Illustrated Guide for Immediate Mastery. From Zero to Coding Hero with Exercises, Exclusive Projects, and Ultra-Fast Learning Techniques",4.3,22,,$22.99
https://www.amazon.com/dp/B0D3ZQMBSS,"Python Programming for Beginners: 4 Books in 1: No-Fail, Step-by-Step Guide to Master Python in 30 Days or Less: Packed with Examples, Exercises, and Case Studies",5.0,26,,$0.99
https://www.amazon.com/dp/1801073449,Hands-On Data Structures and Algorithms with Python - Third Edition,4.6,34,$49.99,$35.99
https://www.amazon.com/dp/1465482210,Beginner's Step-by-Step Coding Course: Learn Computer Programming the Easy Way (DK Complete Courses),4.7,"1,715",$30.00,$16.89
https://www.amazon.com/dp/1098121228,Python Data Science Handbook: Essential Tools for Working with Data,4.2,51,$79.99,$50.99
https://www.amazon.com/dp/B0CXX8RXYK,Ultimate Python: de cero a experto: Un libro para principiantes fácil de seguir (Ultimate Python: la serie) (Spanish Edition),4.7,72,,$24.90
https://www.amazon.com/dp/B0DC59T8Y7,Python For Beginners 2024 : A Simplified Guide to Mastering Coding and Programming,5.0,6,,$0.00
https://www.amazon.com/dp/1590282973,"Python Programming: An Introduction to Computer Science, Fourth Edition",5.0,4,$65.00,$60.55
https://www.amazon.com/dp/B0DD5NHRW8,Python For Cybersecurity : Securing Systems And Networks With Python Programming,,,,$0.00
https://www.amazon.com/dp/1617295981,Classic Computer Science Problems in Python,4.4,147,$39.99,$34.44
https://www.amazon.com/dp/B0CQ7J8SR4,Python Programming and SQL : 10 Books in 1 : Supercharge Your Career with Python Programming and SQL: The Ultimate Guide for Coding Mastery (2024 Edition) (Data Dynamics: Python & SQL Mastery),4.5,26,,$0.00
https://www.amazon.com/dp/1954288891,"The Complete Guide to Ball Python Ownership and Care: Covering Morphs, Enclosures, Habitats, Feeding, Handling, Bonding, Health Care, Breeding, and Problem-Solving",4.3,18,,$19.95
https://www.amazon.com/dp/B0DCW3GJJL,"Essential Python Programming For beginners : A Comprehensive Guide To Learning Python Fundamentals, Essential Libraries, And Best Practices For Aspiring ... (The Essential python workbooks Book 5)",,,,$0.00
https://www.amazon.com/dp/1593278780,"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More",4.7,371,,$34.95
https://www.amazon.com/dp/B0CB4BRQHJ,Mastering Python for Artificial Intelligence: Learn the Essential Coding Skills to Build Advanced AI Applications,4.4,38,,$4.99
https://www.amazon.com/dp/B0DCGFZX7Y,"Ethical Hacking With Python: The Definitive Guide to Understanding, Learning and Applying Hacking Techniques Safely and Legally",4.9,33,,$0.00
https://www.amazon.com/dp/0997326476,Learn Coding Basics in Hours with Python,4.5,394,,$4.99
https://www.amazon.com/dp/0138270570,Learn Python the Hard Way (Zed Shaw's Hard Way Series),3.7,9,$39.99,$30.79
https://www.amazon.com/dp/1617299723,Pandas Workout: 200 exercises to make you a stronger data analyst,5.0,2,$59.99,$49.99
https://www.amazon.com/dp/180323461X,"Mastering Python Networking - Fourth Edition: Utilize Python packages and frameworks for network automation, monitoring, cloud, and management",4.7,77,$49.99,$39.99
https://www.amazon.com/dp/0134173279,Python Distilled (Developer's Library),4.6,198,$49.99,$47.49
https://www.amazon.com/dp/1835460828,Generative AI Foundations in Python: Discover key techniques and navigate modern challenges in LLMs,5.0,3,$39.99,$37.99
https://www.amazon.com/dp/B0D46ZRP7Z,"Python Programming and SQL Bible: 7 Books in 1: Your Comprehensive Guide to Python Mastery, SQL Proficiency, Web Development, and Advanced Data Management Strategies",5.0,10,,$22.00
https://www.amazon.com/dp/B0D38VWTX4,"Python Desktop Applications with Kivy: Develop, pack and deliver Python applications with Kivy.",,,,$0.00
https://www.amazon.com/dp/1491912057,Python Data Science Handbook: Essential Tools for Working with Data,4.5,681,,
https://www.amazon.com/dp/B0DCG43D9Z,"Essential Python Programming For GUI Development : Mastering Python Fundamentals, GUI Design, and Event-Driven with Tkinter, PyQt, and wxPython for Building ... (The Essential python workbooks Book 3)",,,,$0.00
https://www.amazon.com/dp/B0D4SJ69TY,"The Python Bible for Beginners: Launch Your Coding Career and go from Zero to Hero in 14 Days | Unlock the Power of Python with Industry-Specific Skills, and Insider Tips to Get Hired Immediately",4.7,9,,$19.99
https://www.amazon.com/dp/B0DBKYT88Z,"Python Cheat Sheet: A Practical Handbook for Writing Cleaner, Faster, and More Efficient Python Code (The Complete Python Crash Course)",,,,$0.00
https://www.amazon.com/dp/935551624X,Mastering Search Algorithms with Python: A practical guide for efficient data search (English Edition),5.0,1,,$34.95
https://www.amazon.com/dp/B0CTX86DLM,Python Apps on Visual Studio Code: Develop apps and utilize the true potential of Visual Studio Code (English Edition),5.0,4,,$19.95
https://www.amazon.com/dp/B0D7TT9G8G,Python Programming Language Book - The Complete Guide from Zero to Mastering in Python: Python Crash Course for Absolute Beginners to Masters - Learn basic ... (Python Programming Language Books),,,,$0.00
https://www.amazon.com/dp/B0DBZBT2TZ,Sport Analytics with Python and Excel,5.0,1,,$39.67
https://www.amazon.com/dp/0413774201,Monty Python's Big Red Book,4.3,31,,
https://www.amazon.com/dp/B0DCN1PFWB,Python for AI: A Step-by-Step Introduction to Machine Learning and Deep Learning (LLMs in Practice),,,,$0.00
https://www.amazon.com/dp/0134853989,Effective Python: 90 Specific Ways to Write Better Python (Effective Software Development Series),4.7,415,$69.99,$38.79
https://www.amazon.com/dp/B0D8MHP5TT,ULTIMATE Python Guide: From Zer0 to Hero (Python Certifications Book 4),,,,$0.00
https://www.amazon.com/dp/1484242459,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",4.5,152,$69.99,$30.40
https://www.amazon.com/dp/B0DBFR54QR,Python Programming for Beginners: Complete Crash Course to Coding with Hands-On Exercises and Project (The Complete Python Crash Course Book 1),5.0,1,,$0.00
https://www.amazon.com/dp/0138199191,Quick Start Guide to Large Language Models: Strategies and Best Practices for Using ChatGPT and Other LLMs (Addison-Wesley Data & Analytics Series),4.3,70,$49.99,$39.63
https://www.amazon.com/dp/B0D8KLDG4S,"Python Programming for Beginners: The ultimate guide to mastering Python in one week! Discover top coding tips, secrets, and exercises with solutions to achieve excellent proficiency in programming",4.0,12,,$15.99
https://www.amazon.com/dp/B0D8FZDBLQ,Python PCEP - Become a Certified Entry-Level Python Programmer: A Practice Test with 30 Questions to Get You PCEP Certified on Your First attempt,,,,$0.00
https://www.amazon.com/dp/B0BGNPC8H1,"Python Programming Exercises, Gently Explained",4.8,23,,$6.99
https://www.amazon.com/dp/B0BRLYC4Y1,"Ball Python Care Log Book: Ball Python Logbook, Ball Python Care Journal, Keep Record of Bloodline, Birth & Purchase Date, Feed Notes, Shedding, Humidity, Temperature, Etc. 100 Pages",5.0,4,,$7.99
https://www.amazon.com/dp/B0BPV78XB5,Python Programming for Beginners: The Ultimate Guide for Beginners to Learn Python Programming: Crash Course on Python Programming for Beginners,4.5,179,,$22.99
https://www.amazon.com/dp/1492041130,Data Science from Scratch: First Principles with Python,4.4,716,$65.99,$44.44
https://www.amazon.com/dp/B08RWBSKQB,Machine Learning for Absolute Beginners: A Plain English Introduction (Third Edition) (Machine Learning with Python for Beginners Book Series 1),4.4,361,,$0.00
https://www.amazon.com/dp/1718503024,"Python for Kids, 2nd Edition: A Playful Introduction to Programming",4.6,60,,
https://www.amazon.com/dp/B0CCCSD9ZX,Python Programming for Beginners: Ultimate Crash Course From Zero to Hero in Just One Week!,4.4,45,,$9.95
https://www.amazon.com/dp/B09RLRHNGS,"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",4.2,105,,$21.97
https://www.amazon.com/dp/B0D917KMGY,"Python Programming Workbook for Game Development with Pygame, pyglet and kivy: Building Amazing Games with Interactive Exercises, Projects, and Best Practices ... Learning (Programming Foundations)",,,,$0.00
https://www.amazon.com/dp/B0DD5DSVNC,150 Python Advanced Programming Exercises: Techniques For Cracking The Coding Interviews And Beyond (python programming Book 8),,,,$0.00
https://www.amazon.com/dp/B0CKD8S8SV,BHPM - Black Hat Python Manual,5.0,5,,$20.00
https://www.amazon.com/dp/1590282752,"Python Programming: An Introduction to Computer Science, 3rd Ed.",4.6,422,$45.00,$42.75
https://www.amazon.com/dp/B088NBRT6Z,"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition",4.4,96,$29.99,$18.49
